Type of Score,Barcode,Description,Item Policy,Material Type,MMS Id,ISBN,Resource Type,Title,Primo Link,Author,Publisher,Publication Place,Publication Date,Edition,Series,Subjects,Uniform Title,Language Code,Permanent Call Number,Location Name,Item Creation Fiscal Year
Individual Composer,39090018378006,,Score,Music Score,991018207346603851,,Notated music - Physical,Homies and popz : a hip-hopera /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207346603851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Abels, Michael, 1962-",Subito Music Corporation,"Verona, NJ :","1999, 2000.",,,,,eng,MSC9252,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018353504,,Score,Music Score,991018231646103851,9788759842744; 8759842741,Notated music - Physical,Concerto: for horn and orchestra (2018-19) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018231646103851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Abrahamsen, Hans, 1952-",Wilhelm Hansen,Copenhagen :,[2021].,,,,,zxx,MSC9303,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018353439,,Score,Music Score,991018231645903851,9781705110690; 170511069X,Notated music - Physical,"Opera choruses, vol. 2 /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018231645903851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adams, John, 1947-",Boosey & Hawkes,New York :,[2021].,,,,,eng,MSC9305,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018353496,,Score,Music Score,991018231645803851,9781705110706; 1705110703,Notated music - Physical,"Opera choruses, vol. 3 /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018231645803851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adams, John, 1947-",Boosey & Hawkes,New York :,[2021].,,,,,eng,MSC9306,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018353553,,Score,Music Score,991018231646003851,9781705110683; 1705110681,Notated music - Physical,"Opera choruses, vol. 1 /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018231646003851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adams, John, 1947-",Boosey & Hawkes,New York :,[2021].,,,,,eng,MSC9304,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090017202322,,Score,Music Score,991018115242903851,,Notated music - Physical,String quartet in D flat (2003) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018115242903851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adams, Leslie, 1932- composer.",American Composers Alliance,New York :,[2015],,American composers edition,String quartets--Scores and parts.; Chamber music.; Scores.; Parts (Music),,zxx,MSC9108,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018341525,,Score,Music Score,991018166648403851,,Notated music - Physical,L'amour éternel : for flute and piano (2012) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018166648403851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adams, Leslie, 1932- composer.",,"New York : ‡b American Composers Alliance, ‡c [2014]",©2012,American composers edition,,Flute and piano music--Scores and parts.; Scores.; Parts (Music); Art music.,,zxx,MSC9172,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018341715,,Score,Music Score,991018166648303851,,Notated music - Physical,"Sence you went away : from ""Nightsongs"" : for medium voice and chamber orchestra  on poetry of James Weldon Johnson : 2019 /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018166648303851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adams, Leslie, 1932- composer.",American Composers Alliance Inc,"New York, NY :",2019.,New edition.,American composers edition,"Johnson, James Weldon,--1871-1938--Musical settings.; Johnson, James Weldon,--1871-1938.; Songs (Medium voice) with chamber orchestra--Scores.; Art music.; Musical settings.; Scores.; Songs.",Nightsongs. Sence you went away,eng,MSC9173,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,,,Score,Music Score,991018220846703851,,Notated music - Physical,Twenty-six etudes for solo piano /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018220846703851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adams, Leslie, 1932- composer.",American Composers Alliance,New York :,[2020],,,Piano--Studies and exercises--Scores.; Piano.; Concert etudes.; Scores.,,zxx,MT225.A33 T84 2020,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,,,Score,Music Score,991018220846903851,,Notated music - Physical,Collected songs /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018220846903851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adams, Leslie, 1932- composer.",American Composers Alliance,"[New York, NY] :",[2015],,American composers edition,"Valance, Nikos--Musical settings.; Hassler, Suzanne--Musical settings.; Cullen, Countee,--1903-1946--Musical settings.; Dunbar, Paul Laurence,--1872-1906--Musical settings.; Music--Manuscripts--Facsimiles.; Adams, Leslie,--1932---Manuscripts--Facsimiles.; Cullen, Countee,--1903-1946; Adams, Leslie,--1932-; Dunbar, Paul Laurence,--1872-1906.; Music.; Songs with piano.; Songs.; Scores.; Manuscripts.; Facsimiles.; Musical settings.",Songs. Selections,eng,M1620.A233 S66 2015,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377750,,Score,Music Score,991018207346503851,,Notated music - Physical,Duo for eight strings : a duet for violin and viola /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207346503851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adler, Samuel, 1928- composer.",Theodore Presser Company,King of Prussia :,[2021],,Presser premiere series,Violin and viola music--Scores and parts.; Chamber music.; Scores.; Parts (Music),,zxx,MSC9253,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377818,,Score,Music Score,991018207346403851,,Notated music - Physical,Just for two : a duet for oboe and bassoon /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207346403851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adler, Samuel, 1928- composer.",Theodore Presser Company,King of Prussia :,[2021],,Presser premiere series,Bassoon and oboe music--Scores and parts.; Chamber music.; Scores.; Parts (Music),,zxx,MSC9254,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090017202488,,Score,Music Score,991018115242703851,,Notated music - Physical,Thirst and quenching : for solo violin (2020) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018115242703851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Agócs, Kati, 1975-",Kati Agócs Music,"Needham, MA :",2020.,,,,,eng,MSC9109,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018340568,,Score,Music Score,991018169841103851,,Notated music - Physical,Tango alono : for solo oboe /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018169841103851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Albert, Adrienne, 1941-",Kenter Canyon Music,Los Angeles :,2020.,,,Oboe music.; Tangos.; Tangos (Music); Scores.,,eng,MSC9191,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018338349,,Score,Music Score,991018193946303851,,Notated music - Physical,"Yaraví and scherzo : for clarinet, marimba and piano /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018193946303851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Alvarado, Jannet, 1963- composer.",Cayambis Music Press,"[Blacksburg, Virginia] :",[2016],,,"Trios (Piano, clarinet, marimba)--Scores and parts.; Scherzos.; Chamber music.; Parts (Music); Scores.",,zxx,MSC9234,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018303509,,Score,Music Score,991018103746803851,,Notated music - Physical,Quintet no. 2 for brass /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018103746803851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Amis, Kenneth.",Amis Musical Circle,"Norwood, MA :",[1990?],,,"Brass quintets (Horn, trombone, trumpets (2), tuba)--Scores and parts.","Quintets, trumpets (2), horn, trombone, tuba, no. 2",zxx,MSC9074,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018303640,,Score,Music Score,991018103547403851,,Notated music - Physical,"Aurelia, in memoriam : for solo violin : (2020) /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018103547403851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Anderson, T. J. 1928- composer. (Thomas Jefferson),",American Composers Alliance,New York :,2020.,2nd edition.,,Violin music.; Memorial music.; Art music.; Scores.,"Aurelia, in memoriam",zxx,MSC9075,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018341236,,Score,Music Score,991018139842103851,,Notated music - Physical,"Shouts (forty improvisations for Eva-Maria) : for oboe, violin, cello and piano (1997) /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018139842103851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Anderson, Thomas J., 1928-",T J Anderson Music Publishing,"Verona, NJ :","1997, [2020].",,,,,eng,MSC9142,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018378188,,Score,Music Score,991018207346303851,,Notated music - Physical,Fanfare politeia : for wind ensemble /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207346303851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Archer, Kimberly, 1973-",Murphy Music Press,"McKinney, TX :",[2021].,,,,,eng,MSC9255,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377396,,Score,Music Score,991018207346203851,,Notated music - Physical,"The revelation of Saint John the Divine : rhapsody for tenor, male chorus, brass and percussion /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207346203851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Argento, Dominick, composer.",Boosey & Hawkes,[New York] :,[2020],Vocal score.,,"Bible. Revelation Songs and music.; Bible. Revelation; Choruses, Sacred (Men's voices) with instrumental ensemble--Vocal scores with piano.; Rhapsodies (Music); Sacred music.; Songs and music.; Vocal scores.",Revelation of Saint John the Divine. Vocal score,eng,MSC9256,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018340626,,Score,Music Score,991018169841003851,,Notated music - Physical,Sonate : für violoncello solo (2002) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018169841003851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Auerbach, Lera, 1973-",Sikorski Musikverlag,Hamburg :,"2002, [2020].",,,,,mul,MSC9192,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090017202587,,Score,Music Score,991018115242603851,,Notated music - Physical,Iaspis : for violin scordatura (2013) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018115242603851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Balch, Katherine, 1991-",Project Schott New York,New York :,"2013, [2020].",,,,,eng,MSC9110,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018353744,,Score,Music Score,991018232036903851,,Notated music - Physical,Cleaning : for violin and latex glove (2020) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018232036903851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Balch, Katherine, 1991-",Project Schott New York,New York :,2020.,,,,,zxx,MSC9307,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377636,,Score,Music Score,991018207346103851,,Notated music - Physical,Drip/spin : for flute and piano (2017) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207346103851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Balch, Katherine, 1991-",Project Schott New York,New York :,"2017, [2020].",,,,,eng,MSC9257,Music Desk--Inquire @ Music Desk,FY-2021
